Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,IM,Realised VM,Other Cash,Contingent VM,Other Requirement,Cash Collateral,Non-Cash Collateral,Excess Cash Collateral,Excess Non-Cash Collateral,Default Fund
2020-12-08,OCC,00289,00289 C,Client,ETD,Cleared,USD,0.00,10636675.00,0.00,0.00,-245300910.00,250689680.00,0.00,0.00,0.00,0.00
2020-12-08,OCC,00289,00289 F,House,ETD,Cleared,USD,-28267640.00,-4305575.00,0.00,0.00,0.00,31716745.00,-3449105.00,0.00,0.00,0.00
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,-1206164616.00,13516107.69,0.00,-3006494884.00,3568899660.43,0.00,3909834249.00,-302825252.00,0.00,0.00
2020-12-08,OCC,00355,00355 F,House,ETD,Cleared,USD,-114318415.00,-20795676.75,0.00,5124518.00,117968532.00,0.00,76361281.00,-32832616.00,0.00,0.00
2020-12-08,OCC,00355,00355 Z,House,ETD,Cleared,USD,0.00,0.00,0.00,0.00,0.00,406208572.01,0.00,0.00,0.00,-384096362.99
2020-12-08,OCC,00289,00289 F,House,ETD,Current,USD,-28267640.00,0.00,0.00,0.00,28267640.00,0.00,-3449105.00,0.00,0.00,0.00
2020-12-08,OCC,00355,00355 C,Client,ETD,Current,USD,-1339249788.00,0.00,0.00,695489949.00,643759839.00,0.00,879437594.00,0.00,235677755.00,0.00
2020-12-08,OCC,00355,00355 F,House,ETD,Current,USD,-105437427.00,0.00,0.00,114212062.00,-8774635.00,0.00,0.00,0.00,8774635.00,0.00
