Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,IM,Realised VM,Other Cash,Contingent VM,Other Requirement,Cash Collateral,Non-Cash Collateral,Excess Cash Collateral,Excess Non-Cash Collateral,Default Fund
2020-12-07,OCC,00289,00289 C,Client,ETD,Cleared,USD,0.00,-1054915.00,0.00,0.00,-238757100.00,251744595.00,0.00,0.00,0.00,0.00
2020-12-07,OCC,00289,00289 F,House,ETD,Cleared,USD,-30525401.00,121145.00,0.00,0.00,0.00,31716745.00,0.00,1191344.00,0.00,0.00
2020-12-07,OCC,00355,00355 C,Client,ETD,Cleared,USD,-1201117816.00,27832871.83,0.00,-3019988600.00,3587052283.43,0.00,3911851471.00,-309254945.00,0.00,0.00
2020-12-07,OCC,00355,00355 F,House,ETD,Cleared,USD,-98166292.00,-44819467.19,0.00,4921548.00,114063787.00,0.00,76449944.00,-16794800.00,0.00,0.00
2020-12-07,OCC,00355,00355 Z,House,ETD,Cleared,USD,0.00,0.00,0.00,0.00,0.00,406208572.01,0.00,0.00,0.00,-384096362.99
2020-12-07,OCC,00289,00289 F,House,ETD,Current,USD,-30525401.00,0.00,0.00,0.00,30525401.00,0.00,0.00,1191344.00,0.00,0.00
2020-12-07,OCC,00355,00355 C,Client,ETD,Current,USD,-1319619748.00,0.00,0.00,685565616.00,634054132.00,0.00,879117300.00,0.00,245063168.00,0.00
2020-12-07,OCC,00355,00355 F,House,ETD,Current,USD,-93316711.00,0.00,0.00,114135754.00,-20819043.00,0.00,0.00,0.00,20819043.00,0.00
