Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Product Description,Liability Type,Liability
2020-12-08,CME,CSU,250,Client,ETD,,AUD,0.7409602845,CURRENCY,BaseInitialMargin,-2520.00
2020-12-08,CME,CSU,250,Client,ETD,,CAD,0.7799095305,CURRENCY,BaseInitialMargin,-2500.00
2020-12-08,CME,CSU,250,Client,ETD,,CHF,1.1248593926,CURRENCY,BaseInitialMargin,-567000.00
2020-12-08,CME,CSU,250,Client,ETD,,EUR,1.210653753,WEATHER,BaseInitialMargin,-1431750.00
2020-12-08,CME,CSU,250,Client,ETD,,GBP,1.3351134846,CURRENCY,BaseInitialMargin,-1378176.00
2020-12-08,CME,CSU,250,Client,ETD,,GBP,1.3351134846,WEATHER,BaseInitialMargin,-501767.02
2020-12-08,CME,CSU,250,Client,ETD,,JPY,0.0095996928,CURRENCY,BaseInitialMargin,-151312510
2020-12-08,CME,CSU,250,Client,ETD,,JPY,0.0095996928,EQUITY INDICIES,BaseInitialMargin,-2067568241
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,AGRICULTURAL,BaseInitialMargin,-96703973.25
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,COMEX,BaseInitialMargin,-284439998.50
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,CURRENCY,BaseInitialMargin,-141148746.50
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,DAIRY,BaseInitialMargin,-35744.00
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-1897261904.50
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,FOREST,BaseInitialMargin,-174000.00
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-1733952031.66
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,NYMEX,BaseInitialMargin,-314426478.00
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,WEATHER,BaseInitialMargin,-1722750.00
2020-12-08,CME,CSU,250,House,ETD,,JPY,0.0095996928,EQUITY INDICIES,BaseInitialMargin,-15750000
2020-12-08,CME,CSU,250,House,ETD,,USD,1,COMEX,BaseInitialMargin,-50081372.00
2020-12-08,CME,CSU,250,House,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-240926039.00
2020-12-08,CME,CSU,250,House,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-21311076.85
2020-12-08,CME,CSU,250F,Client,ETD,,USD,1,Cleared OTC,BaseInitialMargin,-4138200.00
2020-12-08,CME,CSU,250I,Client,IRS,,AUD,0.7409602845,IRS,BaseInitialMargin,-3079722.57
2020-12-08,CME,CSU,250I,Client,IRS,,CAD,0.7799095305,IRS,BaseInitialMargin,-3950884.52
2020-12-08,CME,CSU,250I,Client,IRS,,CZK,0.0459457473,IRS,BaseInitialMargin,-51284930.62
2020-12-08,CME,CSU,250I,Client,IRS,,EUR,1.210653753,IRS,BaseInitialMargin,-204781352.94
2020-12-08,CME,CSU,250I,Client,IRS,,GBP,1.3351134846,IRS,BaseInitialMargin,-142834.90
2020-12-08,CME,CSU,250I,Client,IRS,,HKD,0.1290089532,IRS,BaseInitialMargin,-714155.93
2020-12-08,CME,CSU,250I,Client,IRS,,HUF,0.0033709759,IRS,BaseInitialMargin,-978013007.29
2020-12-08,CME,CSU,250I,Client,IRS,,JPY,0.0095996928,IRS,BaseInitialMargin,-144028348
2020-12-08,CME,CSU,250I,Client,IRS,,MXN,0.0505282731,IRS,BaseInitialMargin,-3326164269.76
2020-12-08,CME,CSU,250I,Client,IRS,,NOK,0.1140797189,IRS,BaseInitialMargin,-1132755.36
2020-12-08,CME,CSU,250I,Client,IRS,,NZD,0.7044237813,IRS,BaseInitialMargin,-1565943.67
2020-12-08,CME,CSU,250I,Client,IRS,,PLN,0.2721606837,IRS,BaseInitialMargin,-17615889.25
2020-12-08,CME,CSU,250I,Client,IRS,,SGD,0.7473841555,IRS,BaseInitialMargin,-132935.64
2020-12-08,CME,CSU,250I,Client,IRS,,USD,1,IRS,BaseInitialMargin,-2328875921.13
2020-12-08,CME,CSU,250I,Client,IRS,,USD,1,IRS,AdditionalInitialMargin,-44250701.86
2020-12-08,CME,CSU,250I,Client,IRS,,ZAR,0.0667489904,IRS,BaseInitialMargin,-159207209.30
2020-12-08,CME,CSU,250I,House,IRS,,MXN,0.0505282731,IRS,BaseInitialMargin,-225251143.56
2020-12-08,CME,CSU,250I,House,IRS,,USD,1,IRS,BaseInitialMargin,-591714442.82
2020-12-08,CME,CSU,250I,House,IRS,,USD,1,IRS,AdditionalInitialMargin,-24861358.58
2020-12-08,CME,CSU,250T,Client,ETD,,USD,1,FXM,BaseInitialMargin,-3301768.78
2020-12-08,CME,CSU,250T,Client,ETD,,USD,1,FXM,AdditionalInitialMargin,-1.12
2020-12-08,CME,CSI,264,House,ETD,,JPY,0.0095996928,EQUITY INDICIES,BaseInitialMargin,-149125000
2020-12-08,CME,CSI,264,House,ETD,,USD,1,AGRICULTURAL,BaseInitialMargin,-54681880.00
2020-12-08,CME,CSI,264,House,ETD,,USD,1,COMEX,BaseInitialMargin,-167481596.00
2020-12-08,CME,CSI,264,House,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-103580916.00
2020-12-08,CME,CSI,264,House,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-25568743.00
2020-12-08,CME,CSI,264,House,ETD,,USD,1,NYMEX,BaseInitialMargin,-116628244.00
2020-12-08,CME,CSI,264I,House,IRS,,AUD,0.7409602845,IRS,BaseInitialMargin,-2207963.28
2020-12-08,CME,CSI,264I,House,IRS,,CAD,0.7799095305,IRS,BaseInitialMargin,-3107925.64
2020-12-08,CME,CSI,264I,House,IRS,,CHF,1.1248593926,IRS,BaseInitialMargin,-4928213.15
2020-12-08,CME,CSI,264I,House,IRS,,EUR,1.210653753,IRS,BaseInitialMargin,-8805085.90
2020-12-08,CME,CSI,264I,House,IRS,,GBP,1.3351134846,IRS,BaseInitialMargin,-1692674.16
2020-12-08,CME,CSI,264I,House,IRS,,JPY,0.0095996928,IRS,BaseInitialMargin,-1537094718
2020-12-08,CME,CSI,264I,House,IRS,,MXN,0.0505282731,IRS,BaseInitialMargin,-574024456.29
2020-12-08,CME,CSI,264I,House,IRS,,MXN,0.0505282731,IRS,AdditionalInitialMargin,-25434264.28
2020-12-08,CME,CSI,264I,House,IRS,,NOK,0.1140797189,IRS,BaseInitialMargin,-3410744.21
2020-12-08,CME,CSI,264I,House,IRS,,NZD,0.7044237813,IRS,BaseInitialMargin,-391530.44
2020-12-08,CME,CSI,264I,House,IRS,,SEK,0.1180484235,IRS,BaseInitialMargin,-5084943.17
2020-12-08,CME,CSI,264I,House,IRS,,USD,1,IRS,BaseInitialMargin,-127106218.76
2020-12-08,CME,CSI,264I,House,IRS,,USD,1,IRS,AdditionalInitialMargin,-178477424.60
2020-12-08,CME,CSI,264I,House,IRS,,ZAR,0.0667489904,IRS,BaseInitialMargin,-57922541.14
